,Address,District_Name,Type,address,latitude,longitude,type
217,,praha 9,school,Českobrodská 362/32a Hrdlořezy 190 00 Praha 9,50.0929256705236,14.516293132263765,C00
218,,praha 6,school,K letišti 278/4a Ruzyně 161 00 Praha 6,50.09586902305374,14.293831233683504,C00
219,,praha 9,school,Vinořská 163/17 Satalice 190 15 Praha 9,50.12576914071786,14.571800823186674,C00
221,,praha 6,school,Evropská 330/33 Dejvice 166 23 Praha 6,50.100052568959626,14.386913727451084,C00
223,,praha 6,educatioanal center,Gymnasijní 510/1 Dejvice 160 00 Praha 6,50.09932386150385,14.38734942226917,G11
224,,praha 7,school,Jablonského 333/3 Holešovice 170 00 Praha 7,50.1076392850424,14.440906647210069,C00
226,,praha 7,school,Trojská 211/110 Troja 171 00 Praha 7,50.11721428893753,14.422965459749593,C00
227,,praha 8,school,U libeňského zámku 1/2 Libeň 180 00 Praha 8,50.108099546165704,14.47107193603206,C00
228,,praha 3,school,U Vinohradského hřbitova 2471/3 Vinohrady 130 00 Praha 3,50.0764766960875,14.478360538981015,C00
229,,praha 8,school,Svídnická 506/1 Troja 181 00 Praha 8,50.128113999480405,14.41232663087972,C00
231,,praha 8,school,Pernerova 273/25 Karlín 186 00 Praha 8,50.09004320511852,14.448605705378313,C00
233,,praha 8,school,Kollárova 271/5 Karlín 186 00 Praha 8,50.09050396641471,14.449387899099863,C00
235,,praha 7,school,Strossmayerovo náměstí 990/4 Holešovice 170 00 Praha 7,50.099039161261416,14.43504539272321,C00
236,,praha 8,school,Ústavní 400/12 Bohnice 181 00 Praha 8,50.13326151341712,14.421466619337583,C00
237,,praha 8,school,Glowackého 549/7 Troja 181 00 Praha 8,50.127292016100164,14.426827573576862,C00
238,,00 ostrava,school,Rostislavova 1267/7 Vítkovice 703 00 Ostrava,49.81100153952925,18.25523147155059,B00
239,,praha 8,school,Lindnerova 517/3 Libeň 180 00 Praha 8,50.11223106633389,14.473059423250097,C00
242,,praha 8,school,Svídnická 599/1a Troja 181 00 Praha 8,50.12912736720348,14.413227890337339,C00
243,,praha 8,school,Svídnická 599/1a Troja 181 00 Praha 8,50.12912736720348,14.413227890337339,C00
244,,praha 8,school,Nad Rokoskou 111/7 Libeň 182 00 Praha 8,50.11827830004604,14.45037757923142,C00
246,,praha 8,school,Hovorčovická 1281/11 Kobylisy 182 00 Praha 8,50.12851085178033,14.443706683305527,C00
248,,praha 8,school,Vítkova 15/12 Karlín 186 00 Praha 8,50.09068470996595,14.445639863321528,C00
249,,praha 8,educatioanal center,Vítkova 15/12 Karlín 186 00 Praha 8,50.09068470996595,14.445639863321528,G11
250,,praha 8,educatioanal center,Vítkova 15/12 Karlín 186 00 Praha 8,50.09068470996595,14.445639863321528,H22
252,,praha 9,school,Vysočanské náměstí 500 Vysočany 190 00 Praha 9,50.10055157227785,14.4903634087078,C00
255,,praha 9,school,Českolipská 373/27 Střížkov 190 00 Praha 9,50.12568853721085,14.498297017744713,C00
257,,praha 9,school,Pod Táborem 300/7 Hrdlořezy 190 00 Praha 9,50.09189016651289,14.513232361734994,C00
259,,praha 9,school,náměstí 25. března 100/2 Čakovice 196 00 Praha 9,50.1513100829823,14.524138812106841,C00
260,,praha 9,school,Sokolovská 139/320 Vysočany 190 00 Praha 9,50.10986912683941,14.49982297599399,C00
261,,praha 6,school,Laudova 1024/10 Řepy 163 00 Praha 6,50.066812605026435,14.313645902014061,C00
262,,praha 9,school,Chodovická 2250/36 Horní Počernice 193 00 Praha 9,50.110856843181985,14.618874737549975,C00
264,,praha 9,school,Novovysočanská 280/48 Vysočany 190 00 Praha 9,50.10090655395599,14.493651955883106,C00
267,,praha 9,school,Litvínovská 600/1 Prosek 190 00 Praha 9,50.119296108517524,14.49193001304176,C00
268,,praha 9,school,Litoměřická 726/17 Prosek 190 00 Praha 9,50.11907962724342,14.486693904379974,C00
270,,praha 9,school,Učňovská 100/1 Hrdlořezy 190 00 Praha 9,50.09177108021237,14.50062306719926,C00
271,,praha 9,educatioanal center,Učňovská 100/1 Hrdlořezy 190 00 Praha 9,50.09177108021237,14.50062306719926,H22
272,,praha 9,school,Slavětínská 82 Klánovice 190 14 Praha 9,50.09020430474924,14.666655998730583,C00
273,,praha 9,school,Dygrýnova 1006/21 Černý Most 198 00 Praha 9,50.10425194748725,14.570903789659626,C00
274,,praha 8,school,Chabařovická 1125/4 Kobylisy 182 00 Praha 8,50.1311561579432,14.475751356079487,B00
275,,praha 8,school,Chabařovická 1125/4 Kobylisy 182 00 Praha 8,50.1311561579432,14.475751356079487,C00
278,,praha 9,school,Českobrodská 362/32a Hrdlořezy 190 00 Praha 9,50.0929256705236,14.516293132263765,C00
279,,praha 9,school,Špitálská 700/2 Vysočany 190 00 Praha 9,50.109514461538616,14.50367299919193,C00
281,,praha 9,school,Podkovářská 797/4 Vysočany 190 00 Praha 9,50.10346112683939,14.513131559004954,C00
282,,praha 9,school,Za Černým mostem 362/3 Hloubětín 198 00 Praha 9,50.10937223036526,14.556647279416504,C00
283,,praha 9,educatioanal center,Za černým mostem 362/3 Hloubětín 198 00 Praha 9,50.10937223036526,14.556647279416504,H22
285,,praha 7,school,Trojská 211/110 Troja 171 00 Praha 7,50.11721428893753,14.422965459749593,C00
286,,praha 3,school,Žerotínova 1100/36 Žižkov 130 00 Praha 3,50.0878266711005,14.462275625454415,C00
287,,praha 9,school,Ke Stadionu 623/9 Čakovice 196 00 Praha 9,50.14731134448005,14.528026811010315,C00
288,,praha 9,educatioanal center,Ke stadionu 623/9 Čakovice 196 00 Praha 9,50.14731134448005,14.528026811010315,H22
290,,praha 9,school,Bratří Venclíků 1140/1 Černý Most 198 00 Praha 9,50.105031580616384,14.559274680968267,C00
291,,praha 9,school,Kardašovská 691 Hloubětín 198 00 Praha 9,50.10598763281202,14.549318562006055,C00
292,,praha 10,school,Kozinova 1000/1 Hostivař 102 00 Praha 10,50.04902454760799,14.521479090715266,C00
293,,praha 10,educatioanal center,Kozinova 1000/1 Hostivař 102 00 Praha 10,50.04902454760799,14.521479090715266,G11
297,,praha 10,school,V úžlabině 320/23 Malešice 100 00 Praha 10,50.07962746826102,14.502967397714878,C00
299,,praha 10,school,Trhanovské náměstí 129/8 Hostivař 102 00 Praha 10,50.05155742382703,14.52526754801202,C00
300,,praha 10,school,Nad vodovodem 460/81 Malešice 108 00 Praha 10,50.08226838776021,14.498734318599052,C00
302,,praha 10,school,Na Třebešíně 2299/69 Strašnice 100 00 Praha 10,50.083909742166284,14.492598054965583,C00
303,,praha 10,educatioanal center,Na Třebešíně 2299/69 Strašnice 100 00 Praha 10,50.083909742166284,14.492598054965583,H22
305,,praha 10,school,Heroldovy sady 362/1 Vršovice 101 00 Praha 10,50.07062552207277,14.452141080904852,C00
306,,praha 10,school,U krbu 521/45 Malešice 108 00 Praha 10,50.084053782705126,14.494380392983032,C00
309,,praha 10,school,Voděradská 900/2 Strašnice 100 00 Praha 10,50.06932780460503,14.496504143372258,C00
311,,praha 10,school,Jesenická 3067/1 Záběhlice 106 00 Praha 10,50.05801446768412,14.486229859282137,C00
313,,praha 10,school,Omská 1300/4 Vršovice 100 00 Praha 10,50.07249670716731,14.477325112556912,C00
314,,praha 9,school,Beranových 695 Letňany 199 00 Praha 9,50.14376262666653,14.508936703012385,C00
315,,praha 10,school,Hornoměcholupská 873 Hostivař 102 00 Praha 10,50.04995026389325,14.53831803880812,C00
326,,praha 2,school,Ječná 527/33 Nové Město 120 00 Praha 2,50.075535518754556,14.426509196087492,C00
327,,praha 2,educatioanal center,Ječná 527/33 Nové Město 120 00 Praha 2,50.075535518754556,14.426509196087492,G11
328,,praha 4,school,5. května 200/51 Nusle 140 00 Praha 4,50.0597863277743,14.432923049108567,C00
331,,praha 10,school,Ruská 2200/91 Vinohrady 100 00 Praha 10,50.073640121876394,14.4787255967452,C00
335,,praha 1,school,Na Příkopě 856/16 Nové Město 110 00 Praha 1,50.08581429641071,14.426066602429351,C00
339,,praha 2,educatioanal center,Salmovská 1538/8 Nové Město 120 00 Praha 2,50.074419478215695,14.422967214265102,H22
343,,praha 1,school,Alšovo nábřeží 82/6 Staré Město 110 00 Praha 1,50.08807954010618,14.41423324285877,C00
346,,praha 1,school,Platnéřská 191/4 Staré Město 110 00 Praha 1,50.08733457285476,14.41447737119872,C00
347,,praha 1,educatioanal center,Platnéřská 191/4 Staré Město 110 00 Praha 1,50.08733457285476,14.41447737119872,G11
348,,praha 1,school,Josefská 641/4 Malá Strana 118 00 Praha 1,50.08803450874257,14.405533784349918,B00
349,,praha 1,school,Josefská 43/4 Malá Strana 118 00 Praha 1,50.08803450874257,14.405533784349918,C00
351,,praha 1,school,Maltézské náměstí 476/14 Malá Strana 118 00 Praha 1,50.0859396880374,14.405337051907182,C00
353,,praha 1,educatioanal center,Lázeňská 483/3 Malá Strana 118 00 Praha 1,50.08626189647413,14.405799767268796,H22
356,,praha 1,school,Loretánská 104/19 Hradčany 118 00 Praha 1,50.0883195545329,14.392323199001678,B00
357,,praha 1,school,Loretánská 104/19 Hradčany 118 00 Praha 1,50.0883195545329,14.392323199001678,C00
358,,praha 1,school,Loretánská 104/19 Hradčany 118 00 Praha 1,50.0883195545329,14.392323199001678,F10
365,,praha 2,school,Ke Karlovu 455/2 Nové Město 120 00 Praha 2,50.06983486372556,14.4284988444514,B00
366,,praha 2,school,Vinohradská 920/54 Vinohrady 120 00 Praha 2,50.076968543424414,14.44341116472387,B00
367,,praha 2,school,Vinohradská 920/54 Vinohrady 120 00 Praha 2,50.076968543424414,14.44341116472387,C00
372,,praha 2,school,Ječná 530/27 Nové Město 120 00 Praha 2,50.07556950764606,14.424790112268452,B00
373,,praha 2,school,Ječná 530/27 Nové Město 120 00 Praha 2,50.07556950764606,14.424790112268452,C00
378,,praha 2,school,náměstí Míru 601/19 Vinohrady 120 00 Praha 2,50.074945878988984,14.43533959587984,B00
384,,praha 3,school,Chelčického 911/2 Žižkov 130 00 Praha 3,50.083935999163295,14.453944051618704,C00
385,,praha 2,school,Vratislavova 31/6 Vyšehrad 128 00 Praha 2,50.06706296973292,14.41719440132155,C00
386,,praha 2,school,Jana Masaryka 360/25 Vinohrady 120 00 Praha 2,50.071568374141556,14.438359017196687,B00
390,,praha 3,school,U zásobní zahrady 2445/8 Žižkov 130 00 Praha 3,50.08677141825843,14.467049407582621,B00
392,,praha 4,school,V Zápolí 1250/21 Michle 141 00 Praha 4,50.04912108658898,14.467545624877504,B00
396,,praha 4,school,Ružinovská 2017/20 Krč 142 00 Praha 4,50.02588155785112,14.456863806970961,B00
398,,praha 4,school,Kupeckého 576/17 Háje 149 00 Praha 4,50.03110292812619,14.525201070344599,B00
399,,praha 4,school,Kupeckého 576/17 Háje 149 00 Praha 4,50.03110292812619,14.525201070344599,C00
405,,praha 4,school,K lesu 558/2 Kamýk 142 00 Praha 4,50.01151901359,14.443763558832066,B00
408,,praha 4,school,Vídeňská 756/28 Krč 142 00 Praha 4,50.02746684704846,14.457665357003128,C00
