,District_Name,Type,latitude,longitude
616,praha 2,school,50.07428647960066,14.440535539817713
620,praha 2,school,50.0686988531653,14.419474958220398
624,praha 2,school,50.073228,14.447745179006374
629,praha 2,school,50.075804536211045,14.417630475993999
633,praha 2,school,50.07356453067111,14.43430217320666
637,praha 2,school,50.07679026089216,14.424608665156557
642,praha 2,school,50.066640104362605,14.418272608113517
675,praha 3,school,50.07709049956732,14.466922113797656
678,praha 3,school,50.08275715598131,14.456301464885497
682,praha 3,school,50.07838943104039,14.449126793640753
685,praha 3,school,50.08588574104109,14.450538471983284
688,praha 3,school,50.08355744214889,14.459399831813682
692,praha 3,school,50.09376597945645,14.490655191932552
696,praha 3,school,50.09155905107044,14.486713824888774
700,praha 3,school,50.08864666720537,14.470375839863758
704,praha 3,school,50.0836251684748,14.447414111431733
707,praha 3,school,50.092437264556146,14.477546977494542
816,praha 4,school,50.043283807086524,14.423575234780007
820,praha 4,school,50.00958434722136,14.429898209821724
824,praha 4,school,50.0462762240173,14.45027731975288
827,praha 4,school,50.02567647432055,14.428903110623683
830,praha 4,school,50.02199666723405,14.458346270961455
833,praha 4,school,50.04750305551384,14.465003572594968
836,praha 4,school,50.00751497668648,14.404146872612342
840,praha 4,school,50.0045565545329,14.405643345547924
843,praha 4,school,50.005968017526,14.45609001454152
846,praha 4,school,50.02241147994644,14.429731500000003
849,praha 4,school,50.04655199999999,14.436091270500109
852,praha 4,school,50.04981287422847,14.489234724508245
855,praha 4,school,50.06458454342439,14.43402030391252
859,praha 4,school,50.03373333668977,14.505207056610368
863,praha 4,school,50.058764528997685,14.451021335276124
867,praha 4,school,50.03951343435862,14.432912420047462
870,praha 4,school,50.045223529026345,14.482928014051366
873,praha 4,school,50.028386608344654,14.534631240088801
877,praha 4,school,49.992474059120546,14.465545726758585
881,praha 4,school,50.052203328899495,14.450025148623729
885,praha 4,school,50.03652640608207,14.503247340816044
888,praha 4,school,50.029964350539565,14.513513062150302
892,praha 4,school,50.03495281375161,14.518107504357436
896,praha 4,school,50.0627034676841,14.43922838620234
899,praha 4,school,50.043011752149596,14.44728341297832
903,praha 4,school,50.054892444341924,14.442928830024673
906,praha 4,school,50.052080345288125,14.43585724352258
909,praha 4,school,50.03737815015293,14.413553286715857
912,praha 4,school,50.012257724681135,14.510577925183343
916,praha 4,school,50.00130884373024,14.431374107506988
920,praha 4,school,50.03122083014023,14.48207726807686
925,praha 4,school,50.008359279762274,14.451087850539583
928,praha 4,school,50.01902026781705,14.441976697126679
931,praha 4,school,50.01417982737029,14.433009283484537
934,praha 4,school,50.02455520892768,14.492588588897599
938,praha 4,school,50.0115249225576,14.479605554821362
942,praha 4,school,50.057721630561645,14.421637305153292
945,praha 4,school,50.02312782765875,14.517300818482544
